latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.036775163;-80.46735561;93000;4;3;125;1995;1;1;1;1;0;0;0;0;0;626;6770;0.261428727;0.55556574;0.299743889;0.458986487;0.164914498;0.14840082
-1.041504381;-80.470792;95000;4;4;232;2016;1;1;1;1;0;0;1;0;1;626;6770;0.021637003;0.144368004;0.167885465;0.251911023;0.085467359;0.274896543
-1.048974503;-80.46487438;1190000;8;8;93;2012;1;1;1;1;0;1;0;0;1;626;6770;0.388024563;0.924198408;0.305588849;0.072970077;0.140692687;0.152458822
-1.011526576;-80.46644204;220000;5;5;93;2019;1;0;1;1;0;1;1;0;1;626;6770;1.47175425;1.554602141;0.584512518;1.625450709;0.037169177;0.33901081
-1.063516167;-80.45739305;150000;3;4;93;2017;1;1;1;1;1;1;1;1;0;632;5030;0.155013101;0.409340459;0.23318874;0.353931025;0.710326729;0.235932234
-1.039680742;-80.47316005;250000;4;4;93;2022;1;1;1;1;0;1;1;0;1;626;6770;0.318990074;0.46026331;0.232220287;0.281597929;0.191319528;0.185247834
-1.015753076;-80.46502584;115000;3;3;93;2022;1;1;1;1;0;0;1;0;1;627;5280;0.441696066;0.329188569;0.359815839;1.440157899;0.229768835;0.232543586
-1.04613683;-80.45883142;270000;4;4;93;2010;1;1;0;1;0;0;0;0;1;626;6770;0.467139884;0.67968444;0.303818667;0.375759076;0.095240544;0.261260502
-1.047435464;-80.45764979;180000;4;7;346;2017;0;1;1;1;0;0;0;1;0;626;6770;0.618907428;0.484584038;0.248226339;0.229913563;0.120280576;0.135094034
-1.063468322;-80.44577358;93000;3;3;93;2023;0;1;1;1;0;0;1;1;1;632;5030;0.481384888;0.569491594;0.350106278;0.494967137;0.163227636;0.099439775
-1.0195699;-80.46191446;78000;3;3;93;2017;1;0;1;1;0;0;1;0;1;627;5280;0.578393951;0.356235876;0.856290625;1.043901353;0.301499235;0.396085083
-1.050122525;-80.45254826;85000;3;3;93;2023;1;1;1;0;0;0;1;0;1;627;5280;0.027485197;0.351769151;0.365203619;0.185258048;0.101781499;0.105971868
-1.04108975;-80.48538478;68000;2;3;140;2010;1;1;1;1;0;0;1;1;1;626;6770;0.415790511;0.362931559;0.789390041;1.028787802;0.236139247;0.07946103
-1.05286018;-80.4573865;145000;3;4;93;2010;1;1;1;1;0;0;1;0;1;626;6770;0.269219862;0.404516517;0.235512823;0.084412506;0.337269868;0.056737089
-1.05284719;-80.45055269;90000;3;3;110;2022;1;0;1;1;0;0;0;0;1;627;5280;0.179467766;0.107768654;0.020099113;0.100416607;0.214837904;0.077408279
-1.054391881;-80.45527338;65000;2;3;180;2023;1;1;0;1;0;0;0;0;1;626;6770;0.079781671;0.35932565;0.121966104;0.150217869;0.16380809;0.319895093
-1.053916264;-80.45649072;68000;2;3;126;2022;1;1;1;1;1;0;0;1;1;626;6770;0.163986054;0.43132598;0.147962572;0.013252357;0.239852882;0.195752157
-1.054748612;-80.47385037;85000;6;7;93;2003;1;1;1;1;0;0;1;0;1;632;5030;0.30254918;0.198116427;0.957957259;0.34960036;0.035577759;0.221525777
-1.079018148;-80.45266097;135000;4;3;93;2014;1;1;1;1;0;0;0;0;1;632;5030;1.401424993;0.538844182;1.543549387;1.258800989;1.33036186;0.515239573
-1.052482554;-80.48498166;155000;4;4;93;2018;1;1;1;1;0;0;1;0;1;632;5030;0.601769848;0.207618067;1.99070369;0.778477022;0.224956875;0.513451517
-1.035684954;-80.46940812;70000;2;3;147;2007;1;1;1;1;0;0;1;0;1;626;6770;0.051960528;0.628489048;0.350368649;0.419543066;0.097287723;0.124835465
-1.051077297;-80.48866147;88000;3;3;90;2000;1;1;1;1;0;0;1;0;1;632;5030;1.038848425;0.629140765;1.933222584;0.752700317;0.269438095;0.186627996
-1.040078091;-80.47302092;74000;2;3;120;2022;1;1;1;1;0;0;0;0;1;626;6770;0.282516508;0.417676774;0.185632597;0.277876875;0.232140178;0.211983462
-1.02833317;-80.46313494;95000;3;4;108;1988;1;1;1;1;0;0;0;0;0;627;5280;0.12312024;0.221981757;0.135939718;0.123510189;0.250532552;0.54384963
-1.0462262;-80.45713732;290000;10;10;93;2003;1;1;1;1;0;1;1;0;0;626;6770;0.655710893;0.556843314;0.122345467;0.372732116;0.151239615;0.25326588
-1.054520606;-80.45580982;450000;12;9;654;1980;1;1;1;1;0;0;0;0;0;626;6770;0.13667298;0.420056971;0.146955579;0.110146093;0.150566959;0.292595493
-1.050831183;-80.45199784;199000;2;3;390;2017;1;1;1;1;0;0;0;0;0;627;5280;0.07140776;0.258908137;0.281297849;0.123160686;0.074416261;0.044577727
-1.056071861;-80.45504397;130000;3;3;135;2017;1;1;1;1;0;0;0;0;0;626;6770;0.206796833;0.386193314;0.310140107;0.275523008;0.058925809;0.48371331
-1.049092501;-80.46478855;380000;5;4;766;2017;0;1;1;1;0;0;0;0;0;626;6770;0.39441433;0.940355238;0.290453385;0.072248059;0.135138812;0.144663157
-1.036845932;-80.47735887;95000;3;3;130;2017;0;1;1;1;0;0;0;0;0;626;6770;0.882250449;1.016632666;0.361278355;0.790432534;0.372692253;0.151284924
