titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
"Piso en venta en calle Asunción, 56",Parque de los Principes - Calle Niebla,450000,1.0,2,0,Ultimos_pisos,3.0,150,Segunda mano/buen estado,0,0,0,0,0,1
Piso en venta en Virgen de la Antigua,Ramón de Carranza - Madre Rafols,480000,1.0,2,1,Ultimos_pisos,4.0,186,Segunda mano/para reformar,1,1,0,1,0,1
Piso en venta en avenida Presidente Adolfo Suárez,Asunción - Adolfo Suárez,1000000,1.0,4,1,Primeros_pisos,4.0,249,Segunda mano/para reformar,1,1,0,1,0,1
Piso en venta en calle Asunción,Asunción - Adolfo Suárez,470000,1.0,2,0,Primeros_pisos,4.0,166,Segunda mano/buen estado,1,1,1,0,0,1
Piso en venta en calle Virgen de Todos los Santos,Parque de los Principes - Calle Niebla,147000,0.0,1,0,Muchas_plantas,2.0,66,Segunda mano/para reformar,0,0,0,0,0,0
Piso en venta en calle Monte Carmelo,Asunción - Adolfo Suárez,380000,1.0,2,1,Muchas_plantas,4.0,165,Segunda mano/buen estado,0,1,0,0,0,1
Piso en venta en calle Virgen de la Antigua,Ramón de Carranza - Madre Rafols,399000,1.0,2,1,Muchas_plantas,4.0,130,Segunda mano/para reformar,1,0,0,1,0,1
Piso en venta en Av. República Argentina,Plaza de Cuba - República Argentina,590000,1.0,2,0,Ultimos_pisos,4.0,150,Segunda mano/buen estado,1,1,0,0,0,1
Piso en venta en calle Alfonso de Orleans y Borbón,Tablada,360000,1.0,2,0,Primeros_pisos,3.0,129,Segunda mano/buen estado,1,1,1,0,0,1
Piso en venta en Cristóbal Sánchez Fuentes,Ramón de Carranza - Madre Rafols,360000,1.0,2,1,Primeros_pisos,3.0,127,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Parque de los Principes - Calle Niebla,Los Remedios,334895,1.0,2,0,Bajo,2.0,96,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,895000,1.0,3,1,Ultimos_pisos,5.0,277,Segunda mano/buen estado,1,1,1,1,1,1
Piso en venta en Blas Infante,Los Remedios,499900,1.0,3,0,Primeros_pisos,5.0,178,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,1000000,1.0,4,1,Primeros_pisos,4.0,249,Segunda mano/para reformar,1,1,0,1,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,985000,1.0,3,1,Primeros_pisos,7.0,280,Segunda mano/buen estado,1,1,0,1,0,0
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,740000,1.0,3,1,Ultimos_pisos,4.0,240,Segunda mano/para reformar,1,1,0,1,1,0
"Piso en venta en calle Virgen de Regla, 22",Parque de los Principes - Calle Niebla,390000,1.0,2,1,Muchas_plantas,4.0,142,Segunda mano/para reformar,1,1,1,0,0,0
Piso en venta en Santa Fe,Plaza de Cuba - República Argentina,920000,1.0,3,1,Muchas_plantas,5.0,250,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,550000,1.0,2,1,Primeros_pisos,4.0,193,Segunda mano/para reformar,1,1,0,0,1,0
Piso en venta en calle Asunción,Parque de los Principes - Calle Niebla,525000,1.0,2,1,Muchas_plantas,5.0,191,Segunda mano/para reformar,0,1,0,0,0,0
Piso en venta en calle Niebla,Plaza de Cuba - República Argentina,175000,0.0,1,0,Bajo,3.0,85,Segunda mano/para reformar,0,1,0,0,0,0
"Piso en venta en calle Miño, 16 a",Parque de los Principes - Calle Niebla,365000,1.0,2,1,Primeros_pisos,4.0,121,Segunda mano/para reformar,1,0,1,0,0,1
"Piso en venta en calle Virgen de Begoña, 1",Parque de los Principes - Calle Niebla,433000,1.0,1,1,Muchas_plantas,3.0,92,Segunda mano/buen estado,1,0,1,0,0,1
Estudio en venta en calle Salado,Plaza de Cuba - República Argentina,155000,1.0,1,0,Primeros_pisos,1.0,30,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en Parque de los Principes - Calle Niebla,Los Remedios,310000,1.0,1,0,Primeros_pisos,3.0,103,Segunda mano/para reformar,0,0,0,0,0,0
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,215000,0.0,1,1,Primeros_pisos,3.0,83,Segunda mano/para reformar,0,1,1,0,1,1
"Ático en venta en asuncion, 73",Asunción - Adolfo Suárez,225000,1.0,1,0,Ultimos_pisos,1.0,60,Segunda mano/buen estado,1,0,1,0,0,1
Piso en venta en Virgen de la Antigua,Ramón de Carranza - Madre Rafols,474500,1.0,2,1,Ultimos_pisos,5.0,186,Segunda mano/para reformar,0,1,1,1,0,0
"Piso en venta en calle Monte Carmelo, 33",Asunción - Adolfo Suárez,455000,1.0,2,1,Primeros_pisos,5.0,167,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Parque de los Principes - Calle Niebla,Los Remedios,159000,0.0,1,0,Ultimos_pisos,3.0,70,Segunda mano/para reformar,0,0,1,0,0,0
"Ático en venta en calle Asunción, 34",Parque de los Principes - Calle Niebla,649000,1.0,3,1,Ultimos_pisos,3.0,180,Segunda mano/buen estado,1,1,0,0,0,1
