latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-1.061836373;-80.47853396;220000;2020;18.60726226
-1.054477698;-80.45512318;92562;2016;25.15227335
-1.050862757;-80.4888975;130000;2022;17.9625293
-1.054627876;-80.45405029;100000;2010;24.94199011
-1.052611196;-80.45304178;120000;2015;25.15550362
-1.05183885;-80.4549086;77000;1997;25.68996324
-1.052675558;-80.45430779;95000;2012;26.17095935
-1.052875218;-80.46077969;114000;1982;23.88518167
-1.055164319;-80.48603299;155000;2018;19.61073857
-1.122753774;-80.40909095;91000;2017;14.53443562
-1.04690451;-80.46421595;250000;2022;23.84187312
-1.057086489;-80.4519029;220000;2019;24.58726211
-1.052911552;-80.45132517;120000;2019;26.88519306
-1.05263265;-80.4512608;85000;2023;26.99058816
-1.055014801;-80.4731514;75000;2013;23.31356165
-1.04911694;-80.46676936;185000;2022;22.76032782
-1.054885324;-80.45445799;75000;2020;24.64466211
-1.057580544;-80.47608197;85000;2003;22.38116005
-1.052675558;-80.45304178;90000;2021;25.19199138
-1.058474555;-80.43979772;105000;2023;19.67610428
-1.048419683;-80.46687665;1190000;2012;22.51037902
-1.052997369;-80.45505881;250000;2018;26.37909596
-1.053512266;-80.45306324;65000;2009;25.33670037
-1.052911552;-80.45055269;120000;2016;26.94474816
-1.052868644;-80.45679688;220000;1995;25.3816065
-1.051409769;-80.45115351;73500;2020;26.53468617
-1.056254361;-80.45544831;150000;2000;23.50098601
-1.053640939;-80.45360015;62000;2019;25.41638012
-1.011927132;-80.46791629;93000;2023;17.89141292
-1.047187016;-80.45024185;78000;2017;23.73813959
-1.054477698;-80.45387863;75000;2021;25.18600325
-0.876290132;-80.54085928;68000;2023;23.58579966
-1.056567408;-80.45207832;115000;2022;24.38066923
-1.051474131;-80.45113205;68000;2022;26.58764692
-1.051184568;-80.48994893;43000;2008;17.88732466
-1.052611196;-80.45299887;56000;2017;25.48529496
-0.878258027;-80.54294225;449000;2020;22.81917768
-1.047011766;-80.46895409;185000;2020;22.83083685
-0.996141784;-80.41668244;140000;2020;15.19817813
-1.037658737;-80.46818503;70000;2007;24.10580617
-1.05791836;-80.45135718;55000;2022;24.51773616
-0.875982935;-80.5418534;135000;2020;24.33390306
-1.037664638;-80.47607907;135000;2014;20.88527327
-1.05486387;-80.4553163;145000;2010;24.85984355
-1.04808935;-80.48815075;88000;2000;16.8874581
-0.871800021;-80.54016348;280000;2012;21.71481681
-0.870791627;-80.54009911;220000;2017;20.55489806
-1.058756914;-80.45086487;85000;2022;23.75632247
-1.051023596;-80.4532349;90000;2022;25.50857643
-1.04308568;-80.47764845;95000;2016;19.59314241
-1.052439563;-80.45117497;65000;2023;27.031809
-1.04235624;-80.48116751;74000;2022;19.35657501
-1.042914047;-80.47739096;160000;2010;20.02148105
-1.069424252;-80.44557401;75000;2017;23.23805497
-1.035877047;-80.46997708;164500;2012;23.80214136
-0.867624647;-80.53700227;58000;2017;17.57102777
-1.007773225;-80.46372054;100000;2021;16.28309764
-1.04872811;-80.45813469;116500;2017;24.03345328
-1.053254909;-80.48472407;39850;2017;19.73057739
-1.032299582;-80.46591647;93000;2017;25.10290247
-1.060714386;-80.47894891;85000;2017;18.42179277
-1.034737145;-80.48808423;68000;2010;18.58218974
-1.01204148;-80.46676391;91900;2024;17.83660188
-1.057609516;-80.45373801;99900;2007;23.6753512
-1.057062439;-80.45322303;280000;1980;23.86522659
-1.045990134;-80.45723485;290000;2003;22.45083161
-1.054661547;-80.46037989;350000;1988;24.00618721
-1.032830554;-80.47096413;109000;2017;21.82323118
-1.017641054;-80.46820157;160000;2013;19.08213401
-1.048526953;-80.46630802;320000;2013;22.57295301
