distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3
0.672047325;7.99678083;0.852144963;3.372492913;0.651720887;5.997021167;9.875322382;60.45378775;28.17142837
12.03697168;21.89568458;1.127561788;4.726838106;0.583526787;1.651414978;7.213765851;25.54439646;90.02585497
15.38267364;28.04898733;0.080205428;1.020617366;0.451899778;3.049133808;11.69258641;60.05582752;42.36402492
3.066184525;7.10986346;0.721248565;1.455834215;0.419308532;1.538387103;13.58612457;68.1525806;70.55432906
33.7387352;30.53946566;7.877665645;16.72811406;1.335799837;1.922269735;11.73027594;63.92918179;61.83834765
7.334557342;6.749961222;1.086303897;2.047775338;0.12636855;3.575227103;10.33297072;53.96545571;35.79493643
12.03697168;21.89568458;2.196832438;2.00127866;0.965925119;2.49559979;26.70933058;0;49.56502615
19.09782443;20.17259269;1.849151351;3.257438791;0.707252271;1.608425691;23.04382783;56.47115067;21.33754016
12.03697168;21.89568458;2.214921805;62.67038529;16.68198797;10.06598574;5.30374089;27.39762638;52.39196044
6.326470716;24.80709712;0.677434706;7.34536821;0.446290706;1.768490488;9.886307251;67.94859895;40.55206106
15.8169393;21.13666899;0.681136575;2.847681461;0.327743877;0.745175421;8.190367294;66.66021627;54.47848544
12.03697168;21.89568458;1.019990186;3.979850718;0.161184953;1.237497356;5.709479752;16.07776311;69.00009628
20.47375194;34.57181986;1.674032487;14.23160824;0.806663565;1.525028014;14.44090351;60.38145178;25.39990267
2.721186782;14.83220899;0.715890113;3.873222098;0.429638258;4.745093954;13.58078062;65.67415087;37.41543336
33.7266198;32.90848839;9.525531612;24.86129205;0.343116346;6.875591565;12.21696377;57.58632811;46.3372044
12.03697168;21.89568458;1.063258608;15.49002099;2.175681277;0.582013046;10.65708411;14.08919336;67.99576916
12.03697168;21.89568458;1.511002549;17.97585556;2.608276276;2.1066775;2.847922333;18.22543031;71.76153287
16.96595884;16.85579874;1.132623888;4.716659422;0.655586599;0.584405425;9.993159192;57.30361418;34.24039028
3.209713342;11.93203232;1.494278552;2.090617925;0.199322787;2.33024942;8.229935756;53.72521383;37.53252182
22.61724824;33.00151645;2.584947027;12.84678381;1.192624783;3.736176633;16.35597608;63.30001579;34.50012814
4.73806657;2.815570783;0.328979685;0.714303244;0.52149822;2.081307806;4.036048915;52.819193;38.72236509
