distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3;CLUSTERS
1.491174793;1.422620828;0.960580805;1.258188223;0.316883122;0.537414591;1.127291993;1.770175021;1.685116785;2
0.948297138;1.248376525;0.246348046;0.858081596;0.283808623;0.578744465;0.938043099;1.81696023;1.537631806;3
0.625124484;0.983317235;0.191409828;0.564184748;0.300433173;0.91882091;1.133478342;1.755986288;1.578595308;1
1.296375966;1.370548369;0.175085667;0.972743282;0.20202782;0.638610402;1.632762213;1.723281806;1.325733675;0
0.664110201;1.250782895;0.204202041;0.526197294;0.201278963;0.688864975;1.673088085;1.663473871;0;1
0.432411103;1.04728661;0.335813372;0.563232451;0.106872207;0.181514208;0.935702476;1.757157735;1.606006359;1
0.823748084;1.215224797;0.359529976;0.854812981;0.084873127;0.873837825;1.106662565;1.797518705;1.46881674;1
1.084526932;1.594753546;0.343483079;0.39588772;0.183738748;0.458974766;1.301258808;1.762633686;1.320954154;3
1.42175201;1.628258731;0.39863784;1.278482223;0.397149357;0.472332688;1.097531698;1.795711459;1.455443797;0
0.190738376;0.687118558;0.434994945;1.120119937;0;0.630742279;0.944954227;1.809342944;1.496099236;1
1.042579381;1.341794381;0.319934316;0.617139248;0.31103522;0.651438955;0.959915441;1.809848694;1.519020592;3
1.206879685;1.29659089;0.43157528;0.786507677;0.399212206;0.757589325;1.170342123;1.825877856;1.595742625;0
1.174173642;1.352087472;0.093689155;1.615889227;0.441997475;0.58443961;1.344633418;1.687769371;1.439211808;2
0.996528137;0.493021661;0.204547498;0.275019951;0.223563914;0.570080036;0.921538109;1.758834609;1.613740439;1
0.95074705;1.618046983;0.547411565;1.275774206;0.119277597;0.677344483;1.114919292;1.744730237;1.605548811;0
1.295381308;0.721522839;0.179377954;0.007378585;0.150300414;0.472039871;1.153524895;1.797331072;1.468677481;1
1.529426766;1.36199554;0.61677825;1.157711229;0.579660876;0.800913781;1.502761009;1.682168474;1.327100958;2
0.86484311;1.093077093;0.422926299;1.200268722;0.193514479;0.353641825;1.02857861;1.841268727;1.760517701;0
0.279493021;1.105591019;0.121666921;0.687319811;0.123824424;0.727212144;1.377711981;1.779504836;1.657767677;1
0.49148426;1.114454732;0.268830273;0.81488447;0.182305257;0.821460396;1.108403342;1.744833095;1.392626201;1
0.604610716;1.236057883;0.286356747;0.906166101;0.603886603;0.546581816;0.896170034;1.74851694;1.599852296;1
0.260157096;1.110044855;0.111163662;0.654264637;0.105793198;0.719164244;0.857380577;1.800176321;1.546306557;1
1.009259626;1.164487428;0.342702297;0.270345631;0.270411074;0.262850746;1.371972755;1.888695846;1.849931364;3
1.517541007;1.986548576;0.193930954;0.463613133;0.378481033;0.36963281;1.488747513;1.833830863;1.700965368;3
1.137300035;1.293155028;0.31883755;1.048950403;0.176677891;0.433907727;0.896198817;1.747666662;1.615226422;0
1.192808206;1.463393294;0.449910579;0.820862705;0.17829066;0.409266356;1.291534554;1.771977257;1.354638528;0
0.205448826;1.281255988;0.438442481;0.827952422;0.13135208;0.778724314;1.947738957;1.656325808;1.369405584;1
0.880933288;1.290852068;0.553452866;1.056652028;0.310821744;0.372396423;0.933852036;1.776860646;1.712845624;0
1.078189165;1.505535992;0.2699003;0.429342925;0.283026943;0.751819329;1.052162562;1.780634161;1.64375709;3
0.562855525;1.210748459;0.192960585;0.604524756;0.197588528;0.716074629;1.207088275;1.885283754;1.798778342;1
0.864349634;1.501127939;0.390643823;0.636562123;0.255447795;0.818736546;1.108246124;1.788295155;1.649229093;3
0.628950385;0.977540002;0.165723735;0.370315484;0.105651307;0.692574887;1.234538311;1.863646127;1.756174287;1
0.979649709;1.36695787;0.241634935;0.671657917;0.209689615;0.462599834;1.27073059;1.86636713;1.783371071;3
1.22873575;1.030005401;0.995977377;1.341096207;0.134816949;0.95581505;0.877634235;1.745892017;1.617684416;2
0.827568249;0.721127976;0.220319301;0.129027096;0.078631123;0.513668383;1.054325423;1.739949581;1.576997317;1
0.545413573;1.390228975;0.434562224;0.701681945;0.157941307;0.653670004;1.231325904;1.822620631;1.62778976;1
0.901558634;0.607797101;0.290202393;0.558947657;0.253712888;0.579655934;1.364057655;1.792542384;1.472544475;1
1.385953576;1.491659119;0.273823166;1.49094977;0.242692088;0.854870845;0.935259296;1.816603745;1.537883372;2
1.227485045;0.872452846;0.360622606;0.571067009;0.292705067;0.666811944;1.28951652;1.70109262;1.524011767;3
1.111120919;0.620875035;0.218333554;0.335860477;0.110865992;0.811105399;1.053439219;1.730935047;1.575178197;1
0.775844827;1.101476119;0.652548739;0.806050396;0.1115771;0.45862111;0.900028825;1.748757849;1.615948011;1
1.371133738;1.645289472;0.132718746;1.325725997;0.361660827;0.115995648;1.210909845;1.781492534;1.409465937;0
0.865682773;1.222404287;0.379327238;0.857259458;0.110235926;0.892306493;1.205407595;1.77879557;1.387478039;1
